Comment,Designator,Footprint,LCSC
0.1u,"C14,C15,C16",C_1608M,C14663
1u,"C10,C11,C12,C13,C2,C3,C4,C5,C6,C7,C8,C9",C_1608M,C15849
1M,R1,R_3216M,C17927
0,"R2,R3",R_1608M,C21189
100,"R10,R11,R12",R_1608M,C22775
3.3k,"R16,R17,R18",R_1608M,C22978
100k,"R13,R14,R15,R20,R22,R24,R26,R28,R30,R34,R35,R36,R4,R5,R6",R_1608M,C25803
10k,"R19,R21,R23,R25,R27,R29,R7,R8,R9",R_1608M,C25804
10n,"C17,C18,C19",C_1608M,C57112
1000p,C1,C_3216M,C9196
